,time,O1,O2,Fp2,Fp1,contact_O1,contact_O2,contact_Fp2,contact_Fp1,Sample,Streaming,Battery
0,0.0,0.1328090625,0.132765,0.132317546875,0.13253607812499998,0.0,0.0,0.0,0.0,32076.0,1.0,88.0
1,0.004,0.132820328125,0.132776265625,0.13232854687499998,0.13254734375,0.0,0.0,0.0,0.0,32077.0,1.0,88.0
2,0.008,0.132823546875,0.13277921874999998,0.13233203124999998,0.1325505625,0.0,0.0,0.0,0.0,32078.0,1.0,88.0
3,0.012,0.132845,0.132800671875,0.13235375,0.13257228125,0.0,0.0,0.0,0.0,32079.0,1.0,88.0
4,0.016,0.132873703125,0.132829109375,0.1323821875,0.13260098437499998,0.0,0.0,0.0,0.0,32080.0,1.0,88.0
5,0.02,0.132879328125,0.13283473437499999,0.1323878125,0.13260634375,0.0,0.0,0.0,0.0,32081.0,1.0,88.0
6,0.024,0.132861421875,0.13281656249999998,0.132369640625,0.132588171875,0.0,0.0,0.0,0.0,32082.0,1.0,88.0
7,0.028,0.1328496875,0.132804828125,0.13235790625,0.1325764375,0.0,0.0,0.0,0.0,32083.0,1.0,88.0
8,0.032,0.132864984375,0.132820390625,0.132373734375,0.13259226562499998,0.0,0.0,0.0,0.0,32084.0,1.0,88.0
9,0.036,0.132889125,0.13284453124999998,0.13239734375,0.132616140625,0.0,0.0,0.0,0.0,32085.0,1.0,88.0
10,0.04,0.13289099999999998,0.13284640625,0.132398953125,0.13261775,0.0,0.0,0.0,0.0,32086.0,1.0,88.0
11,0.044,0.13287203125,0.1328274375,0.132380234375,0.132599046875,0.0,0.0,0.0,0.0,32087.0,1.0,88.0
12,0.048,0.13292137499999998,0.132876515625,0.13242959375,0.132648125,0.0,0.0,0.0,0.0,32088.0,1.0,88.0
13,0.052,0.13298171875,0.132936328125,0.13248940625,0.13270793749999998,0.0,0.0,0.0,0.0,32089.0,1.0,88.0
14,0.056,0.13284446875,0.13279906249999998,0.13235240625,0.132570953125,0.0,0.0,0.0,0.0,32090.0,1.0,88.0
15,0.06,0.13285357812499998,0.132808453125,0.132361796875,0.13258006249999998,0.0,0.0,0.0,0.0,32091.0,1.0,88.0
16,0.064,0.132860015625,0.13281515624999998,0.132368234375,0.1325865,0.0,0.0,0.0,0.0,32092.0,1.0,88.0
17,0.068,0.13286853125,0.13282320312499998,0.132376546875,0.132594890625,0.0,0.0,0.0,0.0,32093.0,1.0,88.0
18,0.072,0.1329296875,0.132883828125,0.13243717187499998,0.132655765625,0.0,0.0,0.0,0.0,32094.0,1.0,88.0
19,0.076,0.132914203125,0.132868328125,0.132421953125,0.132640546875,0.0,0.0,0.0,0.0,32095.0,1.0,88.0
20,0.08,0.13289521875,0.132849359375,0.13240296875,0.132621578125,0.0,0.0,0.0,0.0,32096.0,1.0,88.0
21,0.084,0.13288643749999998,0.13284084375,0.13239418749999998,0.1326130625,0.0,0.0,0.0,0.0,32097.0,1.0,88.0
22,0.088,0.13288087499999998,0.13283473437499999,0.132388359375,0.1326066875,0.0,0.0,0.0,0.0,32098.0,1.0,88.0
23,0.092,0.1329001875,0.132854328125,0.1324079375,0.132626,0.0,0.0,0.0,0.0,32099.0,1.0,88.0
24,0.096,0.13292646875,0.132880609375,0.13243421875,0.13265228125,0.0,0.0,0.0,0.0,32100.0,1.0,88.0
25,0.1,0.132928078125,0.13288221875,0.132435828125,0.132653890625,0.0,0.0,0.0,0.0,32101.0,1.0,88.0
26,0.104,0.132909375,0.1328635,0.132417125,0.132635453125,0.0,0.0,0.0,0.0,32102.0,1.0,88.0
27,0.108,0.132960875,0.13291528125,0.13246834375,0.132686953125,0.0,0.0,0.0,0.0,32103.0,1.0,88.0
28,0.112,0.133156671875,0.13311134375,0.132663890625,0.13288275,0.0,0.0,0.0,0.0,32104.0,1.0,88.0
29,0.116,0.13299071875,0.132945375,0.13249765624999998,0.132716515625,0.0,0.0,0.0,0.0,32105.0,1.0,88.0
30,0.12,0.13280087499999998,0.1327558125,0.13230809375,0.13252721874999998,0.0,0.0,0.0,0.0,32106.0,1.0,88.0
31,0.124,0.132848890625,0.1328035625,0.13235609375,0.132575234375,0.0,0.0,0.0,0.0,32107.0,1.0,88.0
32,0.128,0.13288,0.132834671875,0.132387484375,0.132606625,0.0,0.0,0.0,0.0,32108.0,1.0,88.0
33,0.132,0.1329103125,0.132864984375,0.13241751562499998,0.13263665624999998,0.0,0.0,0.0,0.0,32109.0,1.0,88.0
34,0.136,0.132937671875,0.132892609375,0.13244515625,0.13266428125,0.0,0.0,0.0,0.0,32110.0,1.0,88.0
35,0.14,0.13294625,0.1329011875,0.132454,0.13267259374999998,0.0,0.0,0.0,0.0,32111.0,1.0,88.0
36,0.144,0.132929953125,0.132884890625,0.1324374375,0.13265631249999998,0.0,0.0,0.0,0.0,32112.0,1.0,88.0
37,0.148,0.132919828125,0.132874765625,0.132427578125,0.13264618749999998,0.0,0.0,0.0,0.0,32113.0,1.0,88.0
38,0.152,0.132935125,0.13289032812499998,0.13244314062499998,0.13266146874999998,0.0,0.0,0.0,0.0,32114.0,1.0,88.0
39,0.156,0.132959265625,0.13291446875,0.132467015625,0.13268560937499999,0.0,0.0,0.0,0.0,32115.0,1.0,88.0
40,0.16,0.1329619375,0.132916890625,0.1324696875,0.13268803125,0.0,0.0,0.0,0.0,32116.0,1.0,88.0
41,0.164,0.1329435,0.13289871875,0.132451515625,0.132669859375,0.0,0.0,0.0,0.0,32117.0,1.0,88.0
42,0.168,0.132994203125,0.13294940624999999,0.13250221874999998,0.1327208125,0.0,0.0,0.0,0.0,32118.0,1.0,88.0
43,0.172,0.133076,0.13303121874999999,0.13258375,0.132802625,0.0,0.0,0.0,0.0,32119.0,1.0,88.0
44,0.176,0.13291970312499998,0.13287464062499998,0.132427171875,0.13264578124999998,0.0,0.0,0.0,0.0,32120.0,1.0,88.0
45,0.18,0.132911453125,0.13286665625,0.1324189375,0.132637796875,0.0,0.0,0.0,0.0,32121.0,1.0,88.0
46,0.184,0.132924328125,0.132879,0.13243153124999998,0.13265040625,0.0,0.0,0.0,0.0,32122.0,1.0,88.0
47,0.188,0.132930765625,0.13288543749999998,0.13243796875,0.132657109375,0.0,0.0,0.0,0.0,32123.0,1.0,88.0
48,0.192,0.13295303125,0.13290796875,0.13246049999999998,0.132679375,0.0,0.0,0.0,0.0,32124.0,1.0,88.0
49,0.196,0.13298145312499998,0.132936125,0.132488671875,0.13270753124999998,0.0,0.0,0.0,0.0,32125.0,1.0,88.0
50,0.2,0.13298440625,0.13293934375,0.132491625,0.132710484375,0.0,0.0,0.0,0.0,32126.0,1.0,88.0
51,0.204,0.132965703125,0.13292090625,0.132473171875,0.132692046875,0.0,0.0,0.0,0.0,32127.0,1.0,88.0
52,0.208,0.1329553125,0.132910515625,0.132462515625,0.132681390625,0.0,0.0,0.0,0.0,32128.0,1.0,88.0
53,0.212,0.13297032812499998,0.132925796875,0.1324778125,0.1326969375,0.0,0.0,0.0,0.0,32129.0,1.0,88.0
54,0.216,0.13299339062499999,0.132948875,0.13250114062499999,0.132720015625,0.0,0.0,0.0,0.0,32130.0,1.0,88.0
55,0.22,0.132996609375,0.132951546875,0.13250409375,0.1327226875,0.0,0.0,0.0,0.0,32131.0,1.0,88.0
56,0.224,0.13297790625,0.132932578125,0.132485109375,0.132703984375,0.0,0.0,0.0,0.0,32132.0,1.0,88.0
57,0.228,0.133026984375,0.13298165625,0.132534203125,0.1327530625,0.0,0.0,0.0,0.0,32133.0,1.0,88.0
58,0.232,0.1330870625,0.13304201562499998,0.132594546875,0.132813421875,0.0,0.0,0.0,0.0,32134.0,1.0,88.0
59,0.236,0.132949265625,0.13290420312499998,0.13245674999999998,0.132675625,0.0,0.0,0.0,0.0,32135.0,1.0,88.0
60,0.24,0.132967109375,0.132921515625,0.13247465625,0.1326931875,0.0,0.0,0.0,0.0,32136.0,1.0,88.0
61,0.244,0.13301834375,0.132973015625,0.132525890625,0.13274468749999999,0.0,0.0,0.0,0.0,32137.0,1.0,88.0
62,0.248,0.13298621875,0.13294115625,0.13249403125,0.1327125625,0.0,0.0,0.0,0.0,32138.0,1.0,88.0
63,0.252,0.132961875,0.13291628125,0.132469421875,0.13268768749999998,0.0,0.0,0.0,0.0,32139.0,1.0,88.0
64,0.256,0.133000765625,0.1329554375,0.1325083125,0.132726578125,0.0,0.0,0.0,0.0,32140.0,1.0,88.0
65,0.26,0.13301284375,0.13296696875,0.13251984375,0.132738375,0.0,0.0,0.0,0.0,32141.0,1.0,88.0
66,0.264,0.132997890625,0.132952015625,0.132505171875,0.13272370312499998,0.0,0.0,0.0,0.0,32142.0,1.0,88.0
67,0.268,0.132990171875,0.13294484374999999,0.13249771875,0.132716515625,0.0,0.0,0.0,0.0,32143.0,1.0,88.0
68,0.272,0.133007875,0.132962546875,0.13251542187499998,0.13273421875,0.0,0.0,0.0,0.0,32144.0,1.0,88.0
69,0.276,0.13303228125,0.1329866875,0.13253956249999999,0.132758359375,0.0,0.0,0.0,0.0,32145.0,1.0,88.0
70,0.28,0.133033359375,0.13298803125,0.13254090625,0.1327594375,0.0,0.0,0.0,0.0,32146.0,1.0,88.0
71,0.284,0.13301384375,0.132968515625,0.13252165624999998,0.1327401875,0.0,0.0,0.0,0.0,32147.0,1.0,88.0
72,0.288,0.13306507812499999,0.133019484375,0.132572625,0.13279115625,0.0,0.0,0.0,0.0,32148.0,1.0,88.0
73,0.292,0.13327375,0.13322815625,0.13278103125,0.1329995625,0.0,0.0,0.0,0.0,32149.0,1.0,88.0
74,0.296,0.133141578125,0.133095984375,0.132649125,0.13286767187499998,0.0,0.0,0.0,0.0,32150.0,1.0,88.0
75,0.3,0.132891671875,0.13284634374999998,0.132399484375,0.132618015625,0.0,0.0,0.0,0.0,32151.0,1.0,88.0
76,0.304,0.13294021875,0.13289515625,0.132447765625,0.1326665625,0.0,0.0,0.0,0.0,32152.0,1.0,88.0
77,0.308,0.13297509375,0.13293003125,0.13248264062499998,0.1327014375,0.0,0.0,0.0,0.0,32153.0,1.0,88.0
78,0.312,0.133012109375,0.13296676562499998,0.132519375,0.1327381875,0.0,0.0,0.0,0.0,32154.0,1.0,88.0
79,0.316,0.133045625,0.13300003124999998,0.132552640625,0.1327714375,0.0,0.0,0.0,0.0,32155.0,1.0,88.0
80,0.32,0.133051,0.13300567187499998,0.132558265625,0.132777078125,0.0,0.0,0.0,0.0,32156.0,1.0,88.0
81,0.324,0.13303389062499998,0.132988296875,0.13254090625,0.132759703125,0.0,0.0,0.0,0.0,32157.0,1.0,88.0
82,0.328,0.133025375,0.132980046875,0.13253265625,0.1327511875,0.0,0.0,0.0,0.0,32158.0,1.0,88.0
83,0.332,0.133047640625,0.1330023125,0.1325551875,0.132773453125,0.0,0.0,0.0,0.0,32159.0,1.0,88.0
84,0.336,0.133063734375,0.13301840625,0.13257128125,0.132789546875,0.0,0.0,0.0,0.0,32160.0,1.0,88.0
85,0.34,0.13306084375,0.13301525,0.132568390625,0.132787203125,0.0,0.0,0.0,0.0,32161.0,1.0,88.0
86,0.344,0.133043484375,0.13299815625,0.13255103125,0.132770375,0.0,0.0,0.0,0.0,32162.0,1.0,88.0
87,0.348,0.133094171875,0.13304857812499998,0.1326011875,0.13282053124999998,0.0,0.0,0.0,0.0,32163.0,1.0,88.0
88,0.352,0.133176515625,0.133130921875,0.13268379687499998,0.13290259375,0.0,0.0,0.0,0.0,32164.0,1.0,88.0
89,0.356,0.1330271875,0.132982125,0.132535,0.13275381249999998,0.0,0.0,0.0,0.0,32165.0,1.0,88.0
90,0.36,0.133018140625,0.132973078125,0.1325256875,0.13274475,0.0,0.0,0.0,0.0,32166.0,1.0,88.0
91,0.364,0.13302940624999998,0.13298434374999998,0.132536953125,0.132756015625,0.0,0.0,0.0,0.0,32167.0,1.0,88.0
92,0.368,0.13303315625,0.132988359375,0.13254096875,0.13276004687499998,0.0,0.0,0.0,0.0,32168.0,1.0,88.0
93,0.372,0.133057828125,0.133012765625,0.13256564062499998,0.13278471875,0.0,0.0,0.0,0.0,32169.0,1.0,88.0
94,0.376,0.13308465625,0.1330390625,0.13259246875,0.13281126562499998,0.0,0.0,0.0,0.0,32170.0,1.0,88.0
95,0.38,0.13308734375,0.13304228125,0.13259515624999998,0.1328136875,0.0,0.0,0.0,0.0,32171.0,1.0,88.0
96,0.384,0.133068890625,0.133024109375,0.1325764375,0.132795515625,0.0,0.0,0.0,0.0,32172.0,1.0,88.0
97,0.388,0.1330585,0.13301371874999998,0.1325663125,0.132785390625,0.0,0.0,0.0,0.0,32173.0,1.0,88.0
98,0.392,0.13307459375,0.133030078125,0.1325826875,0.13280175,0.0,0.0,0.0,0.0,32174.0,1.0,88.0
99,0.396,0.13309846875,0.1330539375,0.13260654687499998,0.132825625,0.0,0.0,0.0,0.0,32175.0,1.0,88.0
100,0.4,0.133098734375,0.13305421874999998,0.13260654687499998,0.132825625,0.0,0.0,0.0,0.0,32176.0,1.0,88.0
101,0.404,0.13307921875,0.133034703125,0.132586765625,0.13280610937499998,0.0,0.0,0.0,0.0,32177.0,1.0,88.0
102,0.408,0.13313098437499998,0.13308646875,0.132638265625,0.132857609375,0.0,0.0,0.0,0.0,32178.0,1.0,88.0
103,0.412,0.133191875,0.13314707812499998,0.132699421875,0.132918765625,0.0,0.0,0.0,0.0,32179.0,1.0,88.0
104,0.416,0.133051125,0.133006609375,0.1325589375,0.132778546875,0.0,0.0,0.0,0.0,32180.0,1.0,88.0
105,0.42,0.13306159374999998,0.1330170625,0.13256940625,0.132789015625,0.0,0.0,0.0,0.0,32181.0,1.0,88.0
106,0.424,0.133068296875,0.13302403125,0.132576109375,0.132795453125,0.0,0.0,0.0,0.0,32182.0,1.0,88.0
107,0.428,0.133070171875,0.13302592187499998,0.13257771875,0.13279759375,0.0,0.0,0.0,0.0,32183.0,1.0,88.0
108,0.432,0.133091625,0.13304790625,0.1325994375,0.13281931249999998,0.0,0.0,0.0,0.0,32184.0,1.0,88.0
109,0.436,0.13311818749999998,0.1330741875,0.132626265625,0.132845609375,0.0,0.0,0.0,0.0,32185.0,1.0,88.0
110,0.44,0.13312871874999999,0.13308290625,0.132636125,0.13285459375,0.0,0.0,0.0,0.0,32186.0,1.0,88.0
111,0.444,0.1331541875,0.13310865624999998,0.132661609375,0.1328800625,0.0,0.0,0.0,0.0,32187.0,1.0,88.0
112,0.448,0.133115359375,0.1330695625,0.13262278125,0.13284125,0.0,0.0,0.0,0.0,32188.0,1.0,88.0
113,0.452,0.133086734375,0.13304093749999998,0.132593875,0.13281234375,0.0,0.0,0.0,0.0,32189.0,1.0,88.0
114,0.456,0.133121609375,0.13307579687499999,0.13262901562499999,0.13284721875,0.0,0.0,0.0,0.0,32190.0,1.0,88.0
115,0.46,0.13313153125,0.13308599999999998,0.132639203125,0.13285740625,0.0,0.0,0.0,0.0,32191.0,1.0,88.0
116,0.464,0.13311684375,0.133071578125,0.13262425,0.132842984375,0.0,0.0,0.0,0.0,32192.0,1.0,88.0
117,0.468,0.133172625,0.133127109375,0.13267978125,0.132898515625,0.0,0.0,0.0,0.0,32193.0,1.0,88.0
118,0.472,0.13338881249999998,0.13334328125,0.1328956875,0.13311470312499998,0.0,0.0,0.0,0.0,32194.0,1.0,88.0
119,0.476,0.133268453125,0.13322292187499998,0.13277532812499998,0.13299459375,0.0,0.0,0.0,0.0,32195.0,1.0,88.0
120,0.48,0.13298259375,0.132937328125,0.132489734375,0.13270901562499998,0.0,0.0,0.0,0.0,32196.0,1.0,88.0
121,0.484,0.1330316875,0.13298642187499998,0.13253909375,0.132758359375,0.0,0.0,0.0,0.0,32197.0,1.0,88.0
122,0.488,0.133072453125,0.1330271875,0.132579859375,0.132799140625,0.0,0.0,0.0,0.0,32198.0,1.0,88.0
123,0.492,0.1331145625,0.133069296875,0.13262196874999999,0.13284125,0.0,0.0,0.0,0.0,32199.0,1.0,88.0
124,0.496,0.133150765625,0.133105515625,0.1326581875,0.132877453125,0.0,0.0,0.0,0.0,32200.0,1.0,88.0
125,0.5,0.13315640625,0.133110609375,0.13266354687499998,0.1328828125,0.0,0.0,0.0,0.0,32201.0,1.0,88.0
126,0.504,0.13313903124999998,0.1330935,0.132646453125,0.132865453125,0.0,0.0,0.0,0.0,32202.0,1.0,88.0
127,0.508,0.13313106249999998,0.133085796875,0.13263873437499998,0.13285746874999999,0.0,0.0,0.0,0.0,32203.0,1.0,88.0
128,0.512,0.133148765625,0.13310349999999999,0.132656171875,0.132875171875,0.0,0.0,0.0,0.0,32204.0,1.0,88.0
129,0.516,0.13317209375,0.1331265625,0.132679515625,0.13289825,0.0,0.0,0.0,0.0,32205.0,1.0,88.0
130,0.52,0.1331734375,0.133128171875,0.13268112499999998,0.132899578125,0.0,0.0,0.0,0.0,32206.0,1.0,88.0
131,0.524,0.13316015625,0.13311489062499998,0.1326675,0.132886109375,0.0,0.0,0.0,0.0,32207.0,1.0,88.0
132,0.528,0.13323096874999998,0.133185703125,0.13273831249999998,0.132956921875,0.0,0.0,0.0,0.0,32208.0,1.0,88.0
133,0.532,0.133365625,0.13332009375,0.13287323437499998,0.13309156249999998,0.0,0.0,0.0,0.0,32209.0,1.0,88.0
134,0.536,0.133181953125,0.133136421875,0.1326895625,0.132907890625,0.0,0.0,0.0,0.0,32210.0,1.0,88.0
135,0.54,0.133071515625,0.13302624999999998,0.132579390625,0.13279771875,0.0,0.0,0.0,0.0,32211.0,1.0,88.0
136,0.544,0.13310665624999998,0.133061390625,0.13261453125,0.132832859375,0.0,0.0,0.0,0.0,32212.0,1.0,88.0
137,0.548,0.133129453125,0.1330841875,0.13263706249999999,0.13285539062499999,0.0,0.0,0.0,0.0,32213.0,1.0,88.0
138,0.552,0.1331605625,0.1331155625,0.13266843749999999,0.132887046875,0.0,0.0,0.0,0.0,32214.0,1.0,88.0
139,0.556,0.133190609375,0.13314534375,0.13269848437499998,0.13291654687499999,0.0,0.0,0.0,0.0,32215.0,1.0,88.0
140,0.56,0.13319328125,0.13314774999999998,0.13270090625,0.132919234375,0.0,0.0,0.0,0.0,32216.0,1.0,88.0
141,0.564,0.13317565625,0.133130125,0.132683265625,0.132901859375,0.0,0.0,0.0,0.0,32217.0,1.0,88.0
142,0.568,0.13316632812499998,0.1331210625,0.132674203125,0.13289307812499998,0.0,0.0,0.0,0.0,32218.0,1.0,88.0
143,0.572,0.13318349999999998,0.133137703125,0.13269084374999998,0.1329094375,0.0,0.0,0.0,0.0,32219.0,1.0,88.0
144,0.576,0.13320574999999998,0.13315995312499998,0.132713375,0.132931703125,0.0,0.0,0.0,0.0,32220.0,1.0,88.0
145,0.58,0.133206296875,0.133160234375,0.13271390624999999,0.13293223437499999,0.0,0.0,0.0,0.0,32221.0,1.0,88.0
146,0.584,0.13318757812499998,0.1331420625,0.132695203125,0.132913796875,0.0,0.0,0.0,0.0,32222.0,1.0,88.0
147,0.588,0.133235859375,0.13319006249999998,0.132743203125,0.1329618125,0.0,0.0,0.0,0.0,32223.0,1.0,88.0
148,0.592,0.133317671875,0.133272140625,0.132825015625,0.133043890625,0.0,0.0,0.0,0.0,32224.0,1.0,88.0
